cip,major,category,traditional,new_1,why_1,new_2,why_2,new_3,why_3,traditional_wage,new_wage_low,new_wage_high
52.0599,"Business/Corporate Communications, Other",Business,Communications coordinator,Content operations manager,"Typical first-two-years range $68,000 to $105,000. Not the Communications coordinator seat.",AI search visibility analyst,"Typical first-two-years range $68,000 to $105,000. Not the Communications coordinator seat.",Employee experience communications lead,"Typical first-two-years range $68,000 to $105,000. Not the Communications coordinator seat.",52000,68000,105000
52.0601,Business/Managerial Economics,Business,Corporate economic analyst,Pricing and monetization analyst,"Typical first-two-years range $90,000 to $130,000. Not the Corporate economic analyst seat.",Marketplace incentives analyst,"Typical first-two-years range $90,000 to $130,000. Not the Corporate economic analyst seat.",Demand forecasting analyst,"Typical first-two-years range $90,000 to $130,000. Not the Corporate economic analyst seat.",72000,90000,130000
52.0701,Entrepreneurship/Entrepreneurial Studies,Business,Family or small business operator,Founder associate at an early stage startup,"Typical first-two-years range $75,000 to $125,000. Not the Family or small business operator seat.",Search fund and acquisition analyst,"Typical first-two-years range $75,000 to $125,000. Not the Family or small business operator seat.",Venture platform lead,"Typical first-two-years range $75,000 to $125,000. Not the Family or small business operator seat.",55000,75000,125000
52.0702,Franchising and Franchise Operations,Business,Franchise operations manager,Multi-unit acquisition operator,"Typical first-two-years range $78,000 to $115,000. Not the Franchise operations manager seat.",Franchise development analytics lead,"Typical first-two-years range $78,000 to $115,000. Not the Franchise operations manager seat.",Field technology rollout manager,"Typical first-two-years range $78,000 to $115,000. Not the Franchise operations manager seat.",65000,78000,115000
52.0703,Small Business Administration/Management,Business,Small business manager,SMB fintech onboarding lead,"Typical first-two-years range $70,000 to $110,000. Not the Small business manager seat.",Fractional operations manager,"Typical first-two-years range $70,000 to $110,000. Not the Small business manager seat.",Local services rollup operator,"Typical first-two-years range $70,000 to $110,000. Not the Small business manager seat.",55000,70000,110000
52.0704,Social Entrepreneurship,Business,Nonprofit program lead,Impact fund operations analyst,"Typical first-two-years range $72,000 to $115,000. Not the Nonprofit program lead seat.",Climate or health venture associate,"Typical first-two-years range $72,000 to $115,000. Not the Nonprofit program lead seat.",Blended finance program manager,"Typical first-two-years range $72,000 to $115,000. Not the Nonprofit program lead seat.",55000,72000,115000
52.0801,"Finance, General",Business,Bank analyst,Private credit and fund operations analyst,"Typical first-two-years range $90,000 to $135,000. Not the Bank analyst seat.",Fintech product and risk analyst,"Typical first-two-years range $90,000 to $135,000. Not the Bank analyst seat.",Treasury and payments analyst,"Typical first-two-years range $90,000 to $135,000. Not the Bank analyst seat.",72000,90000,135000
52.0803,Banking and Financial Support Services,Business,Branch banking associate,Fraud and disputes analyst,"Typical first-two-years range $68,000 to $105,000. Not the Branch banking associate seat.",Banking as a service operations lead,"Typical first-two-years range $68,000 to $105,000. Not the Branch banking associate seat.",Compliance monitoring analyst,"Typical first-two-years range $68,000 to $105,000. Not the Branch banking associate seat.",48000,68000,105000
52.0804,Financial Planning and Services,Business,Advisory associate,RIA operations and technology lead,"Typical first-two-years range $80,000 to $125,000. Not the Advisory associate seat.",Equity compensation planning specialist,"Typical first-two-years range $80,000 to $125,000. Not the Advisory associate seat.",Digital advice platform analyst,"Typical first-two-years range $80,000 to $125,000. Not the Advisory associate seat.",62000,80000,125000
52.0806,International Finance,Business,Corporate treasury analyst,Cross-border payments analyst,"Typical first-two-years range $90,000 to $135,000. Not the Corporate treasury analyst seat.",FX and hedging operations lead,"Typical first-two-years range $90,000 to $135,000. Not the Corporate treasury analyst seat.",Global entity finance analyst,"Typical first-two-years range $90,000 to $135,000. Not the Corporate treasury analyst seat.",75000,90000,135000
52.0807,Investments and Securities,Business,Sell-side research associate,Private markets data analyst,"Typical first-two-years range $95,000 to $145,000. Not the Sell-side research associate seat.",Secondaries and liquidity analyst,"Typical first-two-years range $95,000 to $145,000. Not the Sell-side research associate seat.",Systematic research associate,"Typical first-two-years range $95,000 to $145,000. Not the Sell-side research associate seat.",85000,95000,145000
52.0808,Public Finance,Business,Municipal budget analyst,Infrastructure project finance analyst,"Typical first-two-years range $82,000 to $125,000. Not the Municipal budget analyst seat.",Tax credit and incentives analyst,"Typical first-two-years range $82,000 to $125,000. Not the Municipal budget analyst seat.",Government technology finance lead,"Typical first-two-years range $82,000 to $125,000. Not the Municipal budget analyst seat.",68000,82000,125000
52.0809,Credit Management,Business,Credit analyst,Underwriting policy and model analyst,"Typical first-two-years range $82,000 to $125,000. Not the Credit analyst seat.",Embedded lending risk analyst,"Typical first-two-years range $82,000 to $125,000. Not the Credit analyst seat.",Collections automation lead,"Typical first-two-years range $82,000 to $125,000. Not the Credit analyst seat.",68000,82000,125000
52.0810,Financial Risk Management,Business,Bank risk analyst,Model risk and AI validation analyst,"Typical first-two-years range $100,000 to $150,000. Not the Bank risk analyst seat.",Digital asset risk analyst,"Typical first-two-years range $100,000 to $150,000. Not the Bank risk analyst seat.",Climate risk quantification analyst,"Typical first-two-years range $100,000 to $150,000. Not the Bank risk analyst seat.",82000,100000,150000
52.0899,"Finance and Financial Management Services, Other",Business,Finance associate,Fund administration analyst,"Typical first-two-years range $82,000 to $125,000. Not the Finance associate seat.",Fintech operations analyst,"Typical first-two-years range $82,000 to $125,000. Not the Finance associate seat.",Financial data product analyst,"Typical first-two-years range $82,000 to $125,000. Not the Finance associate seat.",68000,82000,125000
52.0901,"Hospitality Administration/Management, General",Business,Hotel operations manager,Revenue management and pricing analyst,"Typical first-two-years range $72,000 to $110,000. Not the Hotel operations manager seat.",Short-term rental portfolio operator,"Typical first-two-years range $72,000 to $110,000. Not the Hotel operations manager seat.",Guest experience technology lead,"Typical first-two-years range $72,000 to $110,000. Not the Hotel operations manager seat.",60000,72000,110000
52.0903,Tourism and Travel Services Management,Business,Travel agency manager,Travel technology partnerships lead,"Typical first-two-years range $68,000 to $105,000. Not the Travel agency manager seat.",Destination marketing data analyst,"Typical first-two-years range $68,000 to $105,000. Not the Travel agency manager seat.",Experiential trip designer,"Typical first-two-years range $68,000 to $105,000. Not the Travel agency manager seat.",55000,68000,105000
52.0904,Hotel/Motel Administration/Management,Business,Front office manager,Revenue and distribution analyst,"Typical first-two-years range $70,000 to $108,000. Not the Front office manager seat.",Property technology deployment lead,"Typical first-two-years range $70,000 to $108,000. Not the Front office manager seat.",Branded residence operations manager,"Typical first-two-years range $70,000 to $108,000. Not the Front office manager seat.",55000,70000,108000
52.0905,Restaurant/Food Services Management,Business,Restaurant general manager,Multi-unit operations analyst,"Typical first-two-years range $70,000 to $110,000. Not the Restaurant general manager seat.",Delivery channel manager,"Typical first-two-years range $70,000 to $110,000. Not the Restaurant general manager seat.",Restaurant technology implementation lead,"Typical first-two-years range $70,000 to $110,000. Not the Restaurant general manager seat.",58000,70000,110000
52.0906,Resort Management,Business,Resort operations manager,Wellness resort program director,"Typical first-two-years range $75,000 to $115,000. Not the Resort operations manager seat.",Ancillary revenue analyst,"Typical first-two-years range $75,000 to $115,000. Not the Resort operations manager seat.",Destination sustainability lead,"Typical first-two-years range $75,000 to $115,000. Not the Resort operations manager seat.",65000,75000,115000
52.0907,Meeting and Event Planning,Business,Event coordinator,Field marketing program manager,"Typical first-two-years range $70,000 to $110,000. Not the Event coordinator seat.",Hybrid event production lead,"Typical first-two-years range $70,000 to $110,000. Not the Event coordinator seat.",Community and conference operations manager,"Typical first-two-years range $70,000 to $110,000. Not the Event coordinator seat.",52000,70000,110000
52.0908,Casino Management,Business,Casino floor supervisor,Gaming compliance and AML analyst,"Typical first-two-years range $75,000 to $120,000. Not the Casino floor supervisor seat.",Sports betting product operations lead,"Typical first-two-years range $75,000 to $120,000. Not the Casino floor supervisor seat.",Player analytics manager,"Typical first-two-years range $75,000 to $120,000. Not the Casino floor supervisor seat.",60000,75000,120000
52.0909,"Hotel, Motel, and Restaurant Management",Business,Property manager,Hospitality operations analyst,"Typical first-two-years range $70,000 to $108,000. Not the Property manager seat.",Franchise performance manager,"Typical first-two-years range $70,000 to $108,000. Not the Property manager seat.",Loyalty and guest data analyst,"Typical first-two-years range $70,000 to $108,000. Not the Property manager seat.",58000,70000,108000
52.0910,Brewery/Brewpub Operations/Management,Business,Brewpub manager,Beverage brand channel manager,"Typical first-two-years range $65,000 to $100,000. Not the Brewpub manager seat.",Production planning and quality lead,"Typical first-two-years range $65,000 to $100,000. Not the Brewpub manager seat.",Nonalcoholic category product manager,"Typical first-two-years range $65,000 to $100,000. Not the Brewpub manager seat.",55000,65000,100000
52.0999,"Hospitality Administration/Management, Other",Business,Hospitality supervisor,Guest experience operations analyst,"Typical first-two-years range $65,000 to $100,000. Not the Hospitality supervisor seat.",Hospitality technology account manager,"Typical first-two-years range $65,000 to $100,000. Not the Hospitality supervisor seat.",Venue operations lead,"Typical first-two-years range $65,000 to $100,000. Not the Hospitality supervisor seat.",52000,65000,100000
52.1001,"Human Resources Management/Personnel Administration, General",Business,Human resources generalist,People analytics analyst,"Typical first-two-years range $82,000 to $125,000. Not the Human resources generalist seat.",Talent systems automation lead,"Typical first-two-years range $82,000 to $125,000. Not the Human resources generalist seat.",Compensation and equity analyst,"Typical first-two-years range $82,000 to $125,000. Not the Human resources generalist seat.",65000,82000,125000
52.1002,Labor and Industrial Relations,Business,Labor relations specialist,Workforce transition and AI impact analyst,"Typical first-two-years range $90,000 to $135,000. Not the Labor relations specialist seat.",Contingent workforce program manager,"Typical first-two-years range $90,000 to $135,000. Not the Labor relations specialist seat.",Employment policy analyst,"Typical first-two-years range $90,000 to $135,000. Not the Labor relations specialist seat.",78000,90000,135000
52.1003,Organizational Behavior Studies,Business,Organization development associate,Organizational effectiveness analyst,"Typical first-two-years range $80,000 to $120,000. Not the Organization development associate seat.",Employee listening science lead,"Typical first-two-years range $80,000 to $120,000. Not the Organization development associate seat.",Change enablement consultant,"Typical first-two-years range $80,000 to $120,000. Not the Organization development associate seat.",62000,80000,120000
52.1004,Labor Studies,Business,Union or agency researcher,Workforce data and policy analyst,"Typical first-two-years range $72,000 to $110,000. Not the Union or agency researcher seat.",Job quality program lead,"Typical first-two-years range $72,000 to $110,000. Not the Union or agency researcher seat.",Labor market research analyst,"Typical first-two-years range $72,000 to $110,000. Not the Union or agency researcher seat.",60000,72000,110000
52.1005,Human Resources Development,Business,Training coordinator,Learning experience designer,"Typical first-two-years range $75,000 to $115,000. Not the Training coordinator seat.",Skills taxonomy and mobility analyst,"Typical first-two-years range $75,000 to $115,000. Not the Training coordinator seat.",AI upskilling program manager,"Typical first-two-years range $75,000 to $115,000. Not the Training coordinator seat.",58000,75000,115000
52.1006,Executive/Career Coaching,Business,Independent career coach,Internal career mobility program lead,"Typical first-two-years range $70,000 to $115,000. Not the Independent career coach seat.",Coaching platform quality lead,"Typical first-two-years range $70,000 to $115,000. Not the Independent career coach seat.",Workforce transition consultant,"Typical first-two-years range $70,000 to $115,000. Not the Independent career coach seat.",55000,70000,115000
52.1099,"Human Resources Management and Services, Other",Business,Human resources coordinator,HR systems and operations analyst,"Typical first-two-years range $70,000 to $105,000. Not the Human resources coordinator seat.",Employee relations case analyst,"Typical first-two-years range $70,000 to $105,000. Not the Human resources coordinator seat.",Total rewards analyst,"Typical first-two-years range $70,000 to $105,000. Not the Human resources coordinator seat.",55000,70000,105000
52.1101,International Business/Trade/Commerce,Business,Export or trade coordinator,Global expansion operations lead,"Typical first-two-years range $80,000 to $125,000. Not the Export or trade coordinator seat.",Sanctions and trade compliance analyst,"Typical first-two-years range $80,000 to $125,000. Not the Export or trade coordinator seat.",International partnerships manager,"Typical first-two-years range $80,000 to $125,000. Not the Export or trade coordinator seat.",60000,80000,125000
52.1201,"Management Information Systems, General",Business,IT business analyst,Data platform analyst,"Typical first-two-years range $95,000 to $145,000. Not the IT business analyst seat.",Enterprise AI integration analyst,"Typical first-two-years range $95,000 to $145,000. Not the IT business analyst seat.",Identity and security systems analyst,"Typical first-two-years range $95,000 to $145,000. Not the IT business analyst seat.",78000,95000,145000
52.1206,Information Resources Management,Business,Records manager,Information governance and retention lead,"Typical first-two-years range $82,000 to $125,000. Not the Records manager seat.",Data privacy operations analyst,"Typical first-two-years range $82,000 to $125,000. Not the Records manager seat.",Content platform administrator,"Typical first-two-years range $82,000 to $125,000. Not the Records manager seat.",65000,82000,125000
52.1207,Knowledge Management,Business,Knowledge base administrator,Enterprise search and retrieval content lead,"Typical first-two-years range $90,000 to $135,000. Not the Knowledge base administrator seat.",Taxonomy and ontology analyst,"Typical first-two-years range $90,000 to $135,000. Not the Knowledge base administrator seat.",AI knowledge operations manager,"Typical first-two-years range $90,000 to $135,000. Not the Knowledge base administrator seat.",68000,90000,135000
52.1299,"Management Information Systems and Services, Other",Business,Systems support analyst,Integration and automation engineer,"Typical first-two-years range $85,000 to $130,000. Not the Systems support analyst seat.",Business intelligence analyst,"Typical first-two-years range $85,000 to $130,000. Not the Systems support analyst seat.",SaaS governance lead,"Typical first-two-years range $85,000 to $130,000. Not the Systems support analyst seat.",65000,85000,130000
52.1301,Management Science,Business,Operations research analyst,Optimization and simulation analyst,"Typical first-two-years range $100,000 to $150,000. Not the Operations research analyst seat.",Pricing science analyst,"Typical first-two-years range $100,000 to $150,000. Not the Operations research analyst seat.",Logistics network scientist,"Typical first-two-years range $100,000 to $150,000. Not the Operations research analyst seat.",85000,100000,150000
52.1302,Business Statistics,Business,Statistical analyst,Experimentation and causal inference analyst,"Typical first-two-years range $95,000 to $145,000. Not the Statistical analyst seat.",Marketing mix modeling analyst,"Typical first-two-years range $95,000 to $145,000. Not the Statistical analyst seat.",Forecasting scientist,"Typical first-two-years range $95,000 to $145,000. Not the Statistical analyst seat.",78000,95000,145000
52.1304,Actuarial Science,Business,Actuarial analyst,Insurtech pricing analyst,"Typical first-two-years range $95,000 to $145,000. Not the Actuarial analyst seat.",Catastrophe and climate modeling analyst,"Typical first-two-years range $95,000 to $145,000. Not the Actuarial analyst seat.",Risk adjustment analyst,"Typical first-two-years range $95,000 to $145,000. Not the Actuarial analyst seat.",78000,95000,145000
52.1401,"Marketing/Marketing Management, General",Business,Marketing coordinator,Growth and lifecycle analyst,"Typical first-two-years range $78,000 to $120,000. Not the Marketing coordinator seat.",AI search visibility specialist,"Typical first-two-years range $78,000 to $120,000. Not the Marketing coordinator seat.",Product marketing associate,"Typical first-two-years range $78,000 to $120,000. Not the Marketing coordinator seat.",58000,78000,120000
52.1402,Marketing Research,Business,Market research analyst,Consumer insights science lead,"Typical first-two-years range $85,000 to $125,000. Not the Market research analyst seat.",Win-loss and competitive intelligence analyst,"Typical first-two-years range $85,000 to $125,000. Not the Market research analyst seat.",Synthetic research validation analyst,"Typical first-two-years range $85,000 to $125,000. Not the Market research analyst seat.",68000,85000,125000
52.1403,International Marketing,Business,Regional marketing coordinator,Localization and market entry lead,"Typical first-two-years range $78,000 to $118,000. Not the Regional marketing coordinator seat.",Cross-border growth manager,"Typical first-two-years range $78,000 to $118,000. Not the Regional marketing coordinator seat.",Global brand operations analyst,"Typical first-two-years range $78,000 to $118,000. Not the Regional marketing coordinator seat.",60000,78000,118000
52.1404,Digital Marketing,Business,Digital marketing associate,Paid media incrementality analyst,"Typical first-two-years range $78,000 to $125,000. Not the Digital marketing associate seat.",Retail media network manager,"Typical first-two-years range $78,000 to $125,000. Not the Digital marketing associate seat.",Customer data platform operations lead,"Typical first-two-years range $78,000 to $125,000. Not the Digital marketing associate seat.",58000,78000,125000
52.1499,"Marketing, Other",Business,Marketing associate,Content operations and search analyst,"Typical first-two-years range $72,000 to $112,000. Not the Marketing associate seat.",Affiliate and partner program manager,"Typical first-two-years range $72,000 to $112,000. Not the Marketing associate seat.",Brand measurement analyst,"Typical first-two-years range $72,000 to $112,000. Not the Marketing associate seat.",55000,72000,112000
52.1501,Real Estate,Business,Residential agent or leasing manager,Proptech underwriting analyst,"Typical first-two-years range $75,000 to $125,000. Not the Residential agent or leasing manager seat.",Data center and industrial site analyst,"Typical first-two-years range $75,000 to $125,000. Not the Residential agent or leasing manager seat.",Build-to-rent portfolio analyst,"Typical first-two-years range $75,000 to $125,000. Not the Residential agent or leasing manager seat.",58000,75000,125000
52.1601,Taxation,Business,Tax associate,Tax technology and automation analyst,"Typical first-two-years range $85,000 to $130,000. Not the Tax associate seat.",Transfer pricing analyst,"Typical first-two-years range $85,000 to $130,000. Not the Tax associate seat.",Energy and research credit specialist,"Typical first-two-years range $85,000 to $130,000. Not the Tax associate seat.",68000,85000,130000
52.1701,Insurance,Business,Underwriting assistant,Insurtech pricing and product analyst,"Typical first-two-years range $75,000 to $120,000. Not the Underwriting assistant seat.",Claims automation and fraud analyst,"Typical first-two-years range $75,000 to $120,000. Not the Underwriting assistant seat.",Parametric climate product specialist,"Typical first-two-years range $75,000 to $120,000. Not the Underwriting assistant seat.",55000,75000,120000
52.1801,"Sales, Distribution, and Marketing Operations, General",Business,Sales representative,Sales operations and CRM analyst,"Typical first-two-years range $75,000 to $118,000. Not the Sales representative seat.",Revenue enablement lead,"Typical first-two-years range $75,000 to $118,000. Not the Sales representative seat.",Partner channel operations manager,"Typical first-two-years range $75,000 to $118,000. Not the Sales representative seat.",58000,75000,118000
52.1803,Retailing and Retail Operations,Business,Retail supervisor,Retail operations analyst,"Typical first-two-years range $62,000 to $98,000. Not the Retail supervisor seat.",Store technology rollout coordinator,"Typical first-two-years range $62,000 to $98,000. Not the Retail supervisor seat.",Merchandise planning analyst,"Typical first-two-years range $62,000 to $98,000. Not the Retail supervisor seat.",48000,62000,98000
52.1804,Selling Skills and Sales Operations,Business,Inside sales representative,Technical account executive for AI products,"Typical first-two-years range $80,000 to $140,000. Not the Inside sales representative seat.",Sales engineering associate,"Typical first-two-years range $80,000 to $140,000. Not the Inside sales representative seat.",Expansion and renewals manager,"Typical first-two-years range $80,000 to $140,000. Not the Inside sales representative seat.",55000,80000,140000
52.1899,"General Merchandising, Sales, and Related Marketing Operations, Other",Business,Sales associate,Ecommerce account manager,"Typical first-two-years range $60,000 to $95,000. Not the Sales associate seat.",Category and pricing analyst,"Typical first-two-years range $60,000 to $95,000. Not the Sales associate seat.",Field sales operations coordinator,"Typical first-two-years range $60,000 to $95,000. Not the Sales associate seat.",45000,60000,95000
52.1901,Auctioneering,Business,Auctioneer,Online marketplace category manager,"Typical first-two-years range $65,000 to $105,000. Not the Auctioneer seat.",Asset recovery and liquidation analyst,"Typical first-two-years range $65,000 to $105,000. Not the Auctioneer seat.",Authentication operations lead,"Typical first-two-years range $65,000 to $105,000. Not the Auctioneer seat.",55000,65000,105000
52.1902,Fashion Merchandising,Business,Assistant buyer,Ecommerce merchandising analyst,"Typical first-two-years range $68,000 to $108,000. Not the Assistant buyer seat.",Resale and circular commerce operations lead,"Typical first-two-years range $68,000 to $108,000. Not the Assistant buyer seat.",Social commerce manager,"Typical first-two-years range $68,000 to $108,000. Not the Assistant buyer seat.",52000,68000,108000
52.1903,Fashion Modeling,Business,Agency model,Creator brand operator,"Typical first-two-years range $55,000 to $100,000. Not the Agency model seat.",Virtual try-on digital asset model,"Typical first-two-years range $55,000 to $100,000. Not the Agency model seat.",Casting and talent operations manager,"Typical first-two-years range $55,000 to $100,000. Not the Agency model seat.",45000,55000,100000
52.1904,Apparel and Accessories Marketing Operations,Business,Wholesale account coordinator,Direct to consumer retention analyst,"Typical first-two-years range $65,000 to $105,000. Not the Wholesale account coordinator seat.",Marketplace channel manager,"Typical first-two-years range $65,000 to $105,000. Not the Wholesale account coordinator seat.",Sourcing and lifecycle analyst,"Typical first-two-years range $65,000 to $105,000. Not the Wholesale account coordinator seat.",50000,65000,105000
52.1905,Tourism and Travel Services Marketing Operations,Business,Travel marketing coordinator,Destination performance marketing analyst,"Typical first-two-years range $65,000 to $105,000. Not the Travel marketing coordinator seat.",Travel loyalty partnerships manager,"Typical first-two-years range $65,000 to $105,000. Not the Travel marketing coordinator seat.",Booking platform growth associate,"Typical first-two-years range $65,000 to $105,000. Not the Travel marketing coordinator seat.",50000,65000,105000
52.1906,Tourism Promotion Operations,Business,Visitor bureau coordinator,Visitor analytics lead,"Typical first-two-years range $62,000 to $100,000. Not the Visitor bureau coordinator seat.",Creator partnership program manager,"Typical first-two-years range $62,000 to $100,000. Not the Visitor bureau coordinator seat.",Sponsorship operations lead,"Typical first-two-years range $62,000 to $100,000. Not the Visitor bureau coordinator seat.",48000,62000,100000
52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations,Business,Dealership or parts sales representative,EV aftermarket channel manager,"Typical first-two-years range $68,000 to $108,000. Not the Dealership or parts sales representative seat.",Fleet and mobility account manager,"Typical first-two-years range $68,000 to $108,000. Not the Dealership or parts sales representative seat.",Parts catalog and ecommerce analyst,"Typical first-two-years range $68,000 to $108,000. Not the Dealership or parts sales representative seat.",55000,68000,108000
52.1908,Business and Personal/Financial Services Marketing Operations,Business,Financial services marketing coordinator,Fintech lifecycle marketing analyst,"Typical first-two-years range $72,000 to $115,000. Not the Financial services marketing coordinator seat.",Compliance content operations lead,"Typical first-two-years range $72,000 to $115,000. Not the Financial services marketing coordinator seat.",Demand generation analyst,"Typical first-two-years range $72,000 to $115,000. Not the Financial services marketing coordinator seat.",55000,72000,115000
52.1909,Special Products Marketing Operations,Business,Product sales coordinator,Niche marketplace category lead,"Typical first-two-years range $65,000 to $105,000. Not the Product sales coordinator seat.",Product launch operations manager,"Typical first-two-years range $65,000 to $105,000. Not the Product sales coordinator seat.",Partner marketing associate,"Typical first-two-years range $65,000 to $105,000. Not the Product sales coordinator seat.",50000,65000,105000
52.1910,Hospitality and Recreation Marketing Operations,Business,Resort marketing coordinator,Ticketing and experience growth analyst,"Typical first-two-years range $65,000 to $105,000. Not the Resort marketing coordinator seat.",Membership and loyalty manager,"Typical first-two-years range $65,000 to $105,000. Not the Resort marketing coordinator seat.",Venue partnerships lead,"Typical first-two-years range $65,000 to $105,000. Not the Resort marketing coordinator seat.",50000,65000,105000
52.2001,"Construction Management, General",Business,Assistant project manager,Data center construction project engineer,"Typical first-two-years range $90,000 to $140,000. Not the Assistant project manager seat.",Preconstruction cost modeling analyst,"Typical first-two-years range $90,000 to $140,000. Not the Assistant project manager seat.",Reality capture and construction technology lead,"Typical first-two-years range $90,000 to $140,000. Not the Assistant project manager seat.",72000,90000,140000
52.2002,Construction Project Management,Business,Project engineer,Renewables and grid project manager,"Typical first-two-years range $95,000 to $145,000. Not the Project engineer seat.",Modular construction lead,"Typical first-two-years range $95,000 to $145,000. Not the Project engineer seat.",Owner representative for capital programs,"Typical first-two-years range $95,000 to $145,000. Not the Project engineer seat.",75000,95000,145000
52.2099,"Construction Management, Other",Business,Field coordinator,Scheduling and project controls analyst,"Typical first-two-years range $82,000 to $125,000. Not the Field coordinator seat.",Safety technology program lead,"Typical first-two-years range $82,000 to $125,000. Not the Field coordinator seat.",Commissioning coordinator,"Typical first-two-years range $82,000 to $125,000. Not the Field coordinator seat.",65000,82000,125000
52.2101,Telecommunications Management,Business,Network operations coordinator,Fiber and broadband program manager,"Typical first-two-years range $88,000 to $135,000. Not the Network operations coordinator seat.",Data center network capacity analyst,"Typical first-two-years range $88,000 to $135,000. Not the Network operations coordinator seat.",Private 5G deployment lead,"Typical first-two-years range $88,000 to $135,000. Not the Network operations coordinator seat.",68000,88000,135000
54.0101,"History, General",History,"Museum or archive assistant, K-12 teacher",Trust and safety policy analyst,"Typical first-two-years range $70,000 to $110,000. Not the Museum or archive assistant, K-12 teacher seat.",E-discovery and records analyst,"Typical first-two-years range $70,000 to $110,000. Not the Museum or archive assistant, K-12 teacher seat.",Model red-team researcher,"Typical first-two-years range $70,000 to $110,000. Not the Museum or archive assistant, K-12 teacher seat.",58000,70000,110000
54.0102,American  History (United States),History,Secondary history teacher,Public policy research analyst,"Typical first-two-years range $70,000 to $110,000. Not the Secondary history teacher seat.",Cultural heritage digitization lead,"Typical first-two-years range $70,000 to $110,000. Not the Secondary history teacher seat.",Archival AI training data curator,"Typical first-two-years range $70,000 to $110,000. Not the Secondary history teacher seat.",62000,70000,110000
54.0103,European History,History,Academic research assistant,Geopolitical risk analyst,"Typical first-two-years range $75,000 to $120,000. Not the Academic research assistant seat.",Sanctions and export control researcher,"Typical first-two-years range $75,000 to $120,000. Not the Academic research assistant seat.",Market context and localization researcher,"Typical first-two-years range $75,000 to $120,000. Not the Academic research assistant seat.",52000,75000,120000
54.0104,History and Philosophy of Science and Technology,History,University lecturer or research assistant,AI policy and governance researcher,"Typical first-two-years range $85,000 to $135,000. Not the University lecturer or research assistant seat.",Science communication and standards analyst,"Typical first-two-years range $85,000 to $135,000. Not the University lecturer or research assistant seat.",Technology ethics program lead,"Typical first-two-years range $85,000 to $135,000. Not the University lecturer or research assistant seat.",58000,85000,135000
54.0105,Public/Applied History,History,Historic preservation coordinator,Cultural resource compliance analyst,"Typical first-two-years range $68,000 to $105,000. Not the Historic preservation coordinator seat.",Digital exhibit producer,"Typical first-two-years range $68,000 to $105,000. Not the Historic preservation coordinator seat.",Heritage grants manager,"Typical first-two-years range $68,000 to $105,000. Not the Historic preservation coordinator seat.",55000,68000,105000
54.0106,Asian History,History,Area studies research assistant,Supply chain geopolitical analyst,"Typical first-two-years range $78,000 to $125,000. Not the Area studies research assistant seat.",Export control research analyst,"Typical first-two-years range $78,000 to $125,000. Not the Area studies research assistant seat.",Regional market entry analyst,"Typical first-two-years range $78,000 to $125,000. Not the Area studies research assistant seat.",52000,78000,125000
54.0107,Canadian History,History,Archivist or teacher,Cross-border policy analyst,"Typical first-two-years range $70,000 to $110,000. Not the Archivist or teacher seat.",Indigenous consultation coordinator,"Typical first-two-years range $70,000 to $110,000. Not the Archivist or teacher seat.",Resource permitting researcher,"Typical first-two-years range $70,000 to $110,000. Not the Archivist or teacher seat.",55000,70000,110000
54.0108,Military History,History,Command historian or teacher,Open-source defense intelligence analyst,"Typical first-two-years range $80,000 to $130,000. Not the Command historian or teacher seat.",Wargaming and simulation designer,"Typical first-two-years range $80,000 to $130,000. Not the Command historian or teacher seat.",Defense technology program analyst,"Typical first-two-years range $80,000 to $130,000. Not the Command historian or teacher seat.",62000,80000,130000
54.0199,"History, Other",History,Research or archive assistant,Information provenance analyst,"Typical first-two-years range $70,000 to $110,000. Not the Research or archive assistant seat.",Knowledge curation lead for AI systems,"Typical first-two-years range $70,000 to $110,000. Not the Research or archive assistant seat.",Records governance analyst,"Typical first-two-years range $70,000 to $110,000. Not the Research or archive assistant seat.",52000,70000,110000
